Vendor,Year,Month,TotalSubmissions
arxiv,2019,2,11302
arxiv,2019,3,12654
arxiv,2019,4,13396
arxiv,2019,5,13750
arxiv,2019,6,12350
arxiv,2019,7,13634
arxiv,2019,8,11868
arxiv,2019,9,13881
arxiv,2019,10,14675
arxiv,2019,11,13302
arxiv,2019,12,13517
arxiv,2020,1,12010
arxiv,2020,2,12932
arxiv,2020,3,14415
arxiv,2020,4,15025
arxiv,2020,5,14719
arxiv,2020,6,17000
arxiv,2020,7,16208
arxiv,2020,8,13781
arxiv,2020,9,14827
arxiv,2020,10,16418
arxiv,2020,11,15130
arxiv,2020,12,15864
arxiv,2021,1,12747
arxiv,2021,2,13656
arxiv,2021,3,17273
arxiv,2021,4,15141
arxiv,2021,5,15205
arxiv,2021,6,16248
arxiv,2021,7,14803
arxiv,2021,8,14006
arxiv,2021,9,15322
arxiv,2021,10,15960
arxiv,2021,11,15673
arxiv,2021,12,15596
arxiv,2022,1,13452
arxiv,2022,2,14038
arxiv,2022,3,17276
arxiv,2022,4,14274
arxiv,2022,5,16008
arxiv,2022,6,15478
arxiv,2022,7,14814
arxiv,2022,8,15003
arxiv,2022,9,15640
arxiv,2022,10,17551
arxiv,2022,11,17271
arxiv,2022,12,14887
arxiv,2023,1,13870
arxiv,2023,2,14863
arxiv,2023,3,18249
arxiv,2023,4,15010
arxiv,2023,5,20092
arxiv,2023,6,17848
arxiv,2023,7,16897
arxiv,2023,8,16912
arxiv,2023,9,17453
arxiv,2023,10,20710
arxiv,2023,11,18841
arxiv,2023,12,17748
arxiv,2024,1,18085
arxiv,2024,2,19481
arxiv,2024,3,20332
arxiv,2024,4,19761
arxiv,2024,5,21076
arxiv,2024,6,20099
arxiv,2024,7,21794
arxiv,2024,8,17451
arxiv,2024,9,20569
arxiv,2024,10,24226
arxiv,2024,11,19951
arxiv,2024,12,21206
